trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-107.95541808561467,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-91.96114781027956,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-100.94928505510666,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-39.332336089520794,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-192.87919153327033,"{0: 12, 1: 4, 2: 5, 3: 1, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,8,-79.89869300452683,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 2}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-94.53354592926267,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,3,-73.3217593891292,"{0: 12, 1: 0, 2: 3, 3: 1, 4: 1}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-29.427436325878116,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-11.502686441541055,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-27.47741346515661,"{0: 19, 1: 3, 2: 2, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,0.021775648676011672,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,13,-38.373468608987096,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,2,-3.3524728970963826,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,14,8.630430936684567,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,6,-12.612108634109951,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,0,11.955208080799299,"{0: 27, 1: 1, 2: 2, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,5,23.04043806349316,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,1,28.995326556227848,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,13,-16.49404529488158,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
1,True,"{'a': 0.5, 'e': 0}",30,13,-13.62435643877063,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
2,True,"{'a': 0.5, 'e': 0}",25,17,16.659879672906214,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.5, 'e': 0}",20,3,27.506901572373955,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.5, 'e': 0}",25,0,32.11693200055261,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0.5, 'e': 0}",20,12,3.0312006543363044,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
6,True,"{'a': 0.5, 'e': 0}",20,6,22.45586859662375,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.5, 'e': 0}",30,0,43.2724924765601,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0.5, 'e': 0}",25,8,7.374035590036101,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
9,True,"{'a': 0.5, 'e': 0}",20,3,1.27543152306612,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
10,True,"{'a': 0.5, 'e': 0}",25,0,32.90260221475299,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
11,True,"{'a': 0.5, 'e': 0}",20,9,19.886419035715694,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,True,"{'a': 0.5, 'e': 0}",25,2,35.40982223595536,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'a': 0.5, 'e': 0}",25,16,17.72520038025351,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'a': 0.5, 'e': 0}",25,12,15.980613096689751,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,True,"{'a': 0.5, 'e': 0}",20,0,34.06414093830521,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
16,True,"{'a': 0.5, 'e': 0}",20,4,25.289475024271983,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,True,"{'a': 0.5, 'e': 0}",20,0,31.42178003567126,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
18,True,"{'a': 0.5, 'e': 0}",30,16,24.56839749283374,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,True,"{'a': 0.5, 'e': 0}",25,12,23.7443031009218,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,True,"{'a': 0.5, 'e': 0}",30,3,41.02823329077287,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
