trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.35, 'e': 0.9995}",25,14,-64.07982472152753,"{0: 7, 1: 1, 2: 1, 3: 1, 4: 1}",1
2,False,"{'a': 0.35, 'e': 0.99875}",25,0,-209.29218164258833,"{0: 15, 1: 0, 2: 5, 3: 1, 4: 4}",0
3,False,"{'a': 0.35, 'e': 0.99775}",20,0,-77.11513793953746,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
4,False,"{'a': 0.35, 'e': 0.9965}",25,0,-150.50485570119196,"{0: 14, 1: 4, 2: 3, 3: 2, 4: 2}",0
5,False,"{'a': 0.35, 'e': 0.9950000000000001}",30,0,-203.78369110704477,"{0: 17, 1: 2, 2: 7, 3: 1, 4: 3}",0
6,False,"{'a': 0.35, 'e': 0.9932500000000001}",20,0,-69.68116029263595,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
7,False,"{'a': 0.35, 'e': 0.9912500000000001}",25,0,-214.9395111883455,"{0: 15, 1: 0, 2: 5, 3: 1, 4: 4}",0
8,False,"{'a': 0.35, 'e': 0.9890000000000001}",25,0,-182.21521608041485,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 3}",0
9,False,"{'a': 0.35, 'e': 0.9865000000000002}",25,0,-40.22967760188331,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",0
10,False,"{'a': 0.35, 'e': 0.9837500000000001}",25,1,-186.7020730329116,"{0: 13, 1: 2, 2: 5, 3: 1, 4: 3}",1
11,False,"{'a': 0.35, 'e': 0.9807500000000001}",25,0,-116.73976394402723,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 2}",0
12,False,"{'a': 0.35, 'e': 0.9775000000000001}",30,0,-145.4510347829555,"{0: 19, 1: 1, 2: 6, 3: 3, 4: 1}",0
13,False,"{'a': 0.35, 'e': 0.9740000000000002}",35,12,-115.16734068105154,"{0: 15, 1: 3, 2: 2, 3: 1, 4: 2}",1
14,False,"{'a': 0.35, 'e': 0.9702500000000002}",30,21,-10.428910042393593,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
15,False,"{'a': 0.35, 'e': 0.9662500000000002}",25,2,-94.69993764072726,"{0: 13, 1: 2, 2: 6, 3: 2, 4: 0}",1
16,False,"{'a': 0.35, 'e': 0.9620000000000002}",25,0,-56.56975388879352,"{0: 21, 1: 1, 2: 0, 3: 2, 4: 1}",0
17,False,"{'a': 0.35, 'e': 0.9575000000000002}",35,0,-145.4947458114477,"{0: 21, 1: 5, 2: 7, 3: 0, 4: 2}",0
18,False,"{'a': 0.35, 'e': 0.9527500000000002}",20,0,-169.46982678250762,"{0: 8, 1: 2, 2: 7, 3: 1, 4: 2}",0
19,False,"{'a': 0.35, 'e': 0.9477500000000002}",25,14,-5.3346137996134715,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
20,False,"{'a': 0.35, 'e': 0.9425000000000002}",25,0,-103.27084669814444,"{0: 15, 1: 2, 2: 5, 3: 3, 4: 0}",0
21,False,"{'a': 0.35, 'e': 0.9370000000000003}",20,0,-39.85671303729591,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
22,False,"{'a': 0.35, 'e': 0.9312500000000002}",25,0,-75.6514735567416,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
23,False,"{'a': 0.35, 'e': 0.9252500000000002}",25,0,-48.023492497170544,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 0}",0
24,False,"{'a': 0.35, 'e': 0.9190000000000003}",25,0,-104.92904078218048,"{0: 12, 1: 4, 2: 8, 3: 1, 4: 0}",0
25,False,"{'a': 0.35, 'e': 0.9125000000000003}",25,0,-103.80357786452427,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
26,False,"{'a': 0.35, 'e': 0.9057500000000003}",25,0,-155.74836608827812,"{0: 14, 1: 0, 2: 8, 3: 1, 4: 2}",0
27,False,"{'a': 0.35, 'e': 0.8987500000000003}",25,0,-80.56478378700513,"{0: 16, 1: 1, 2: 7, 3: 1, 4: 0}",0
28,False,"{'a': 0.35, 'e': 0.8915000000000003}",20,0,-59.551065756529205,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
29,False,"{'a': 0.35, 'e': 0.8840000000000003}",25,13,-18.6086449243891,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
30,False,"{'a': 0.35, 'e': 0.8762500000000003}",25,0,-88.71632318758236,"{0: 14, 1: 2, 2: 9, 3: 0, 4: 0}",0
31,False,"{'a': 0.35, 'e': 0.8682500000000003}",30,0,-92.27181901862932,"{0: 21, 1: 2, 2: 5, 3: 1, 4: 1}",0
32,False,"{'a': 0.35, 'e': 0.8600000000000003}",20,0,-68.06514162004166,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
33,False,"{'a': 0.35, 'e': 0.8515000000000004}",20,0,-25.33872089334038,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
34,False,"{'a': 0.35, 'e': 0.8427500000000003}",25,0,-116.3624174426163,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
